,H,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Cu,Zn,Ga,Ge,As,Se,Br,Sb,Te,I
H,0.741,1.595,1.343,1.232,1.120,1.036,0.970,0.917,,1.887,1.730,1.648,1.520,1.422,1.341,1.275,,2.243,2.003,1.775,1.785,,1.655,1.463,1.595,1.663,1.588,1.535,1.475,1.414,,1.656,1.609
Li,1.595,2.673,,,,,1.688,1.564,,2.889,,,,,2.150,2.021,,3.270,,,,,,,,,,,,2.170,,,2.392
Be,1.343,,2.460,,,,1.331,1.361,,,,,,,1.742,1.797,,,,,,,,,,,,,,,,,
B,1.232,,,1.590,1.491,1.325,1.205,1.267,,,,,,,1.609,1.719,,,,,,,,,,,,,,1.888,,,
C,1.120,,,1.491,1.243,1.172,1.128,1.276,,,,1.955,1.722,1.562,1.535,1.649,,,2.302,,,,,,,,,,1.676,1.821,,,
N,1.036,,,1.325,1.172,1.098,1.154,1.317,,,,1.786,1.575,1.491,1.497,1.611,,,,,,,,,,,,1.618,1.652,1.765,1.835,,
O,0.970,1.688,1.331,1.205,1.128,1.154,1.208,1.354,,2.052,1.749,1.618,1.510,1.476,1.481,1.596,,,1.822,1.668,1.620,1.589,,1.724,,1.743,1.625,,1.639,1.718,,1.825,1.868
F,0.917,1.564,1.361,1.267,1.276,1.317,1.354,1.412,,1.926,1.750,1.654,1.604,1.593,1.599,1.628,,2.171,1.967,1.788,,,,1.745,,1.774,1.745,1.736,,1.759,1.918,,1.910
Ne,,,,,,,,,3.100,,,,,,,,,,,,,,,,,,,,,,,,
Na,1.887,2.889,,,,,2.052,1.926,,3.079,,,,,2.489,2.361,,3.589,,,,,,,,,,,,2.502,,,2.711
Mg,1.730,,,,,,1.749,1.750,,,3.891,,,,2.143,2.199,,,,,,,,,,,,,,,,,
Al,1.648,,,,1.955,1.786,1.618,1.654,,,,2.701,,2.400,2.029,2.130,,,,,,,,,,,,,,2.295,,,2.537
Si,1.520,,,,1.722,1.575,1.510,1.604,,,,,2.246,2.078,1.929,2.061,,,,,,,,,,,,,2.058,2.209,,,
P,1.422,,,,1.562,1.491,1.476,1.593,,,,2.400,2.078,1.893,1.900,2.018,,,,,,,,,,2.450,,,,2.171,,,
S,1.341,2.150,1.742,1.609,1.535,1.497,1.481,1.599,,2.489,2.143,2.029,1.929,1.900,1.889,1.975,,,2.318,,,,,,2.046,,2.012,,2.037,,,,
Cl,1.275,2.021,1.797,1.719,1.649,1.611,1.596,1.628,,2.361,2.199,2.130,2.061,2.018,1.975,1.988,,2.667,2.437,,2.265,,,2.051,,2.202,2.164,,,2.136,2.335,,2.321
Ar,,,,,,,,,,,,,,,,,3.758,,,,,,,,,,,,,,,,
K,2.243,3.270,,,,,,2.171,,3.589,,,,,,2.667,,3.905,,,,,,,,,,,,2.821,,,3.048
Ca,2.003,,,,2.302,,1.822,1.967,,,,,,,2.318,2.437,,,,,,,,,,,,,,2.594,,,
Sc,1.775,,,,,,1.668,1.788,,,,,,,,,,,,,,,,,,,,,,,,,
Ti,1.785,,,,,,1.620,,,,,,,,,2.265,,,,,,,,,,,,,,,,,
V,,,,,,,1.589,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr,1.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu,1.463,,,,,,1.724,1.745,,,,,,,,2.051,,,,,,,,2.220,,,,,,,,,
Zn,1.595,,,,,,,,,,,,,,2.046,,,,,,,,,,,,,,,,,,
Ga,1.663,,,,,,1.743,1.774,,,,,,2.450,,2.202,,,,,,,,,,,,2.530,,2.352,,,
Ge,1.588,,,,,,1.625,1.745,,,,,,,2.012,2.164,,,,,,,,,,,,,2.135,,,,
As,1.535,,,,,1.618,,1.736,,,,,,,,,,,,,,,,,,2.530,,2.103,,,,,
Se,1.475,,,,1.676,1.652,1.639,,,,,,2.058,,2.037,,,,,,,,,,,,2.135,,2.166,,,,
Br,1.414,2.170,,1.888,1.821,1.765,1.718,1.759,,2.502,,2.295,2.209,2.171,,2.136,,2.821,2.594,,,,,,,2.352,,,,2.281,,,2.469
Sb,,,,,,1.835,,1.918,,,,,,,,2.335,,,,,,,,,,,,,,,,,
Te,1.656,,,,,,1.825,,,,,,,,,,,,,,,,,,,,,,,,,2.557,
I,1.609,2.392,,,,,1.868,1.910,,2.711,,2.537,,,,2.321,,3.048,,,,,,,,,,,,2.469,,,2.665